_name,ItemId,ItemName,LocalizationKey,Rarity,Rarity__enum,Icon,HelmetSprite
Helmet_4_4,1229,Soldier Helmet,Items.Helmet.Name.1229,3,Epic,ref:52321cf23969f49468435d188054d79e,ref:2d2609f215fa89e43b4ccddb4924397d
Helmet_5_1,49,Royal Cape,Items.Helmet.Name.49,4,Legendary,ref:c78f06347aed28b45ba554f65b4cd2b8,ref:6a111a521aef94949ac7ba8ca26cb19d
Helmet_5_2,48,Knight Helmet,Items.Helmet.Name.48,4,Legendary,ref:f253dfa0cce74eb48878003eaa56779e,ref:5dae96aa21cca7b4c96485231623435f
Helmet_5_3,1240,Wizard Hat,Items.Helmet.Name.1240,4,Legendary,ref:3b5b1b5b74ce4a742b885ab5e59cac07,ref:08a6d16c6e6ef984e9641af1e5c5ff4f
Helmet_5_4,1246,Templar Helmet,Items.Helmet.Name.1246,4,Legendary,ref:531d223fe911d0b4ca3acffb55eedc56,ref:2cf83629b79a1ce41b575d5ed4845966
Helmet_6_1,1312,Mage Hat,Items.Helmet.Name.1312,5,Mythic,ref:588f24a1a36b8b046a1e06484096225a,ref:9cce1b392df332d49890aad010e3fde6
Helmet_6_2,1313,Sorcerer Cape,Items.Helmet.Name.1313,5,Mythic,ref:76486de3922e19446af794161af7090e,ref:41a69e6e0daa6a14c86336ad695b8a97
Helmet_6_3,1314,Arcane Helmet,Items.Helmet.Name.1314,5,Mythic,ref:5324d270efe19184d80f88f016329b67,ref:d28a21913b391fd4db895e3d9415fc7e
Helmet_6_4,1315,Wizard Hat,Items.Helmet.Name.1315,5,Mythic,ref:78f5cffc6fdf8d140a2f68080244adc9,ref:98931a491ea253a47a668365b0fec4ad
Helmet_7_1,1316,Druidic Cape,Items.Helmet.Name.1316,6,Artifact,ref:3e22c0317775aec47bbf48d8c39bedbd,ref:d1e8faac7ea5a4b488ecb89b7912ebad
Helmet_7_2,1317,Elven Helmet,Items.Helmet.Name.1317,6,Artifact,ref:f50003735fe3add41b92118d6a9e69f0,ref:562d0ebd745c29c4cb8975fb97ff737a
Helmet_7_3,1318,Druid Hat,Items.Helmet.Name.1318,6,Artifact,ref:38fc55e9bc039cb4ba37f38a448545d1,ref:363a89235cf3ee3429a74a9a233a71f9
Helmet_7_4,1319,Verdant Helmet,Items.Helmet.Name.1319,6,Artifact,ref:6e10a939fb0203b4ca011c05b3228aea,ref:322a74b98ae682b438cf6369e8c3bf43
Helmet_8_1,1350,Glacial Tiara,Items.Helmet.Name.1350,7,Ancient,ref:0afc3667162e3684cb2c6bc59149f0fe,ref:36358aed18bcf43449b6f2c19e2c53b0
Helmet_8_2,1351,Frost Helmet,Items.Helmet.Name.1351,7,Ancient,ref:054638eb3b052f7428334e057b161fd7,ref:458bad1c0d3351a458aec97f0c69d93b
Helmet_8_3,1352,Ice Helmet,Items.Helmet.Name.1352,7,Ancient,ref:98628e10ed8a0914c93516ff0ea50e5e,ref:91805052415ea2b4dbe4a57bbc42a300
Helmet_8_4,1353,Chill Cape,Items.Helmet.Name.1353,7,Ancient,ref:8adcb18a533cdb1468b48586369fd0da,ref:d60ec351a0f9b414a97af2e4759eb97c
Helmet_9_1,1408,Dread Helm,Items.Helmet.Name.1408,8,Immortal,ref:181f40cddb9635744aa973c367c304ea,ref:c98772340992a9b4c80f0dd55d715aef
Helmet_9_2,1409,Infernal Cape,Items.Helmet.Name.1409,8,Immortal,ref:1bce219f452e183479eae79444e1e008,ref:f0c16f238cd0ad64fb4b9efec7c34c69
Helmet_9_3,1410,Tyrant Helmet,Items.Helmet.Name.1410,8,Immortal,ref:8ca7150a0de8d6d4c88357e8bd674bda,ref:12bceae2cf1451a4396914e658b38935
Helmet_9_4,1411,Undying Mask,Items.Helmet.Name.1411,8,Immortal,ref:5ede1e958f981bb41a1d29cb71431b04,ref:6f33b341e76d3d2488d71bf0a3f9d5f2
Lych2HelmetData,1379,Zombie Helmet,Items.Helmet.Name.1379,0,Common,ref:f5f8be0f869845f4ba650ae6a1d4526a,ref:f5f8be0f869845f4ba650ae6a1d4526a
Lych3HelmetData,1382,Zombie Helmet,Items.Helmet.Name.1382,0,Common,ref:ae994b57a0d8c5e46b2fc1aa25ddf96b,ref:ae994b57a0d8c5e46b2fc1aa25ddf96b
LychHelmetData,1376,Zombie Helmet,Items.Helmet.Name.1376,0,Common,ref:48d4df7e44672184296ab5bcfad63db4,ref:48d4df7e44672184296ab5bcfad63db4
Ogre1HelmetData,1385,Zombie Helmet,Items.Helmet.Name.1385,0,Common,ref:fc5af92103c699d4181f16699018422b,ref:fc5af92103c699d4181f16699018422b
Ogre2HelmetData,1388,Zombie Helmet,Items.Helmet.Name.1388,0,Common,ref:bfa0f5dce0f274348a07ee73fe2dbb08,ref:bfa0f5dce0f274348a07ee73fe2dbb08
PurpleDragonHelmetData,1370,Zombie Helmet,Items.Helmet.Name.1370,0,Common,ref:0f96375b52d48254fb6c9ce77d743c26,ref:0f96375b52d48254fb6c9ce77d743c26
RedDragonHelmetData,1373,Zombie Helmet,Items.Helmet.Name.1373,0,Common,ref:7018f400af5e2744ba7ae315985ee5fa,ref:7018f400af5e2744ba7ae315985ee5fa
Witch2HelmetData,1394,Zombie Helmet,Items.Helmet.Name.1394,0,Common,ref:a68583f47d123af4a9f7cb8436715571,ref:a68583f47d123af4a9f7cb8436715571
WitchHelmetData,1391,Zombie Helmet,Items.Helmet.Name.1391,0,Common,ref:87a08478ba6406446ac694095874b057,ref:87a08478ba6406446ac694095874b057
ZombieHelmetData,1000,Zombie Helmet,Items.Helmet.Name.1000,0,Common,ref:46ef1c3118b63ac489c12ed6410297f0,ref:46ef1c3118b63ac489c12ed6410297f0
