_name,ItemId,ItemName,LocalizationKey,Rarity,Rarity__enum,Icon,GlovesSprite
Gloves_9_3,1402,Dread Gloves,Items.Gloves.Name.1402,8,Immortal,ref:3ff7724fa04a27046a7d3d27f44652ea,ref:2e3e5f4332e7ff042a4ae45347b49657
Gloves_9_4,1403,Tyrant Gloves,Items.Gloves.Name.1403,8,Immortal,ref:84c2f08c8f5981c41aff58f5790b6a7c,ref:dc3b8b58fc4750d4080b798661c2125d
GreenDragonGloveData,1366,Zombie Gloves,Items.Gloves.Name.1366,0,Common,ref:c98956a2c2f464e459b2b41defff8156,ref:c98956a2c2f464e459b2b41defff8156
Lych2GloveData,1378,Zombie Gloves,Items.Gloves.Name.1378,0,Common,ref:ebdb5ac9520afc340af86a7929fa5f26,ref:ebdb5ac9520afc340af86a7929fa5f26
Lych3GloveData,1381,Zombie Gloves,Items.Gloves.Name.1381,0,Common,ref:31cc349e5d177184d97f2932879266b3,ref:31cc349e5d177184d97f2932879266b3
LychGloveData,1375,Zombie Gloves,Items.Gloves.Name.1375,0,Common,ref:1e26f55926fcb0447a7d57d843af4307,ref:1e26f55926fcb0447a7d57d843af4307
Ogre1GloveData,1384,Zombie Gloves,Items.Gloves.Name.1384,0,Common,ref:accc0a2f47a5a354ea104fd7bbb8c94a,ref:accc0a2f47a5a354ea104fd7bbb8c94a
Ogre2GloveData,1387,Zombie Gloves,Items.Gloves.Name.1387,0,Common,ref:4cdcb294554174142ae9ff5234d3b56d,ref:4cdcb294554174142ae9ff5234d3b56d
PurpleDragonGloveData,1369,Zombie Gloves,Items.Gloves.Name.1369,0,Common,ref:d383e05d53c473b4a8cf5478ce7d6c50,ref:d383e05d53c473b4a8cf5478ce7d6c50
RedDragonGloveData,1372,Zombie Gloves,Items.Gloves.Name.1372,0,Common,ref:210a09538b5c0804ab5abe27c3f5a956,ref:210a09538b5c0804ab5abe27c3f5a956
Witch2GloveData,1393,Zombie Gloves,Items.Gloves.Name.1393,0,Common,ref:9c2508ea6e10dfe4c90029ed6e4c627b,ref:9c2508ea6e10dfe4c90029ed6e4c627b
WitchGloveData,1390,Zombie Gloves,Items.Gloves.Name.1390,0,Common,ref:9c2508ea6e10dfe4c90029ed6e4c627b,ref:9c2508ea6e10dfe4c90029ed6e4c627b
ZombieGloveData,999,Zombie Gloves,Items.Gloves.Name.999,0,Common,ref:f40be0e024569664696a369fba054ba0,ref:f40be0e024569664696a369fba054ba0
