_name,ItemId,ItemName,LocalizationKey,Rarity,Rarity__enum,Icon,WeaponType,WeaponType__enum,AttackSpeed,AttackDistance,ProjectileSpeed,AreaDamageRadius,WeaponAnimator,WeaponSprite,HitAudioVolume,ShootAudioVolume,ProjectileHitAudioVolume,ProjectilePrefab
Weapon_m_2_3,1287,Battle Axe,Items.Weapon.Name.1287,1,Uncommon,ref:4f68a51fe699cc74abd8dd0aba790de8,0,Melee,1,1.5,0,0,ref:ac40b42be3fdb834f88828525fc64cbc,ref:1883bbac689859c44bb4e21c32b92d57,1,1,1,
Weapon_m_3_1,1295,Iron Sword,Items.Weapon.Name.1295,2,Rare,ref:dbdefcf583634cd49bcfe43c532c3a1b,0,Melee,1,1.5,0,0,ref:c89e93bb516cc14449702ffa556d5cdf,ref:bacd3d0a8f9da4c4caea595750549b09,1,1,1,
Weapon_m_3_2,32,Great Axe,Items.Weapon.Name.32,2,Rare,ref:5b72e3ba29640424986098eddada5c7c,0,Melee,1,1.5,0,0,ref:ac40b42be3fdb834f88828525fc64cbc,ref:9b66bbe7fdcfd8840897546023bffda6,1,1,1,
Weapon_m_3_3,1288,Mace,Items.Weapon.Name.1288,2,Rare,ref:e9b4ad0fa6fb85242b40765e5c9e1a52,0,Melee,1,1.5,0,0,ref:ac40b42be3fdb834f88828525fc64cbc,ref:20310a1e8822f584189eac2c5d6b4fd7,1,1,1,
Weapon_m_4_1,57,Soldier Sword,Items.Weapon.Name.57,3,Epic,ref:3ca3a3fafd585674fb63cd6ef8fe3ead,0,Melee,1,1.5,0,0,ref:c89e93bb516cc14449702ffa556d5cdf,ref:c00e7708a7f70a74d95b483f5342b256,1,1,1,
Weapon_m_4_2,58,Soldier Daggers,Items.Weapon.Name.58,3,Epic,ref:35065811ff38f9049af3fcb822c49934,0,Melee,1,1.5,0,0,ref:7442a1d565899fb44abb7c01920a208c,ref:f32982f28b6f50548b7ea190fe65c2e8,1,1,1,
Weapon_m_4_3,1290,Squire Sword,Items.Weapon.Name.1290,3,Epic,ref:f1661ea705e605443853df6bdb86a8ec,0,Melee,1,1.5,0,0,ref:c89e93bb516cc14449702ffa556d5cdf,ref:cac1ebd448311304cb77ad9d002ce6e2,1,1,1,
Weapon_m_5_1,61,Twin Dagger,Items.Weapon.Name.61,4,Legendary,ref:b3574655391aa6e4fbeced6c057bf486,0,Melee,1,1.5,0,0,ref:7442a1d565899fb44abb7c01920a208c,ref:7bf8f05d31fbb2d45931670128d31c7d,1,1,1,
Weapon_m_5_2,62,Royal Sword,Items.Weapon.Name.62,4,Legendary,ref:04325feeb3326d749af965e307c84bb9,0,Melee,1,1.5,0,0,ref:c89e93bb516cc14449702ffa556d5cdf,ref:10260320b3689fa44ab70fb3e20520ac,1,1,1,
Weapon_m_5_3,1293,Knight Sword,Items.Weapon.Name.1293,4,Legendary,ref:824da7f586d795148bdd97d49ab42524,0,Melee,1,1.5,0,0,ref:c89e93bb516cc14449702ffa556d5cdf,ref:943d2b7ac21c6ff45a40cb94ae43d91e,1,1,1,
Weapon_m_6_1,1332,Mystic Sword,Items.Weapon.Name.1332,5,Mythic,ref:9ea3e8592d5782a48b61ef4a13bb0d43,0,Melee,1,1.5,0,0,ref:c89e93bb516cc14449702ffa556d5cdf,ref:0f4eab1dde4114544923aa135c45d54a,1,1,1,
Weapon_m_6_2,1333,Arcane Dagger,Items.Weapon.Name.1333,5,Mythic,ref:76f26b8953ed53947ae8fa0422d4c556,0,Melee,1,1.5,0,0,ref:7540e857c9ee16a438f0f555a2b667c3,ref:d54bae495314b2e4484d55cb98901fd8,1,1,1,
Weapon_m_6_3,1334,Glimmer Axe,Items.Weapon.Name.1334,5,Mythic,ref:036390d26b33e4a4aa39b23870954c1b,0,Melee,1,1.5,0,0,ref:ac40b42be3fdb834f88828525fc64cbc,ref:f7f090f1a3702e2468afa7d864639429,1,1,1,
Weapon_m_7_1,1335,Sacred Sword,Items.Weapon.Name.1335,6,Artifact,ref:130080481cb666d4e917d400245835af,0,Melee,1,1.5,0,0,ref:c89e93bb516cc14449702ffa556d5cdf,ref:2c488006c59b8134b8938980f463ef50,1,1,1,
Weapon_m_7_2,1336,Wild Axe,Items.Weapon.Name.1336,6,Artifact,ref:4de3417091daa5343a49a69cbcf76848,0,Melee,1,1.5,0,0,ref:e8cc4ad6a9c7f5e45a4b68b754e54874,ref:ce3c8ef42157d5a479ef7672d89b2d39,1,1,1,
Weapon_m_7_3,1337,Druidic Sword,Items.Weapon.Name.1337,6,Artifact,ref:2de5bb5b29a6cb3468cf19ff946f5fa1,0,Melee,1,1.5,0,0,ref:ac40b42be3fdb834f88828525fc64cbc,ref:2e98d93ed1fe9c14cad8c7c2b4c2f370,1,1,1,
Weapon_m_8_1,1360,Ice Dagger,Items.Weapon.Name.1360,7,Ancient,ref:5051c98f0e8e95b4fb3f678898545992,0,Melee,1,1.5,0,0,ref:6e66e6e11f4b99e429c722c53eb9fad0,ref:6865f23f9e2981244af81e81a089fcae,1,1,1,
Weapon_m_8_2,1361,Frost Greataxe,Items.Weapon.Name.1361,7,Ancient,ref:c96d54246dcc85441b768ed71c071841,0,Melee,1,1.5,0,0,ref:ac40b42be3fdb834f88828525fc64cbc,ref:fb82ce3a079ede74a81760721ef31be2,1,1,1,
Weapon_m_8_3,1362,Blizzard Greatsword,Items.Weapon.Name.1362,7,Ancient,ref:b1686180034cb3443b56376d96ce520e,0,Melee,1,1.5,0,0,ref:c89e93bb516cc14449702ffa556d5cdf,ref:2cc87c7a4df728e43a4236b643ddbb03,1,1,1,
Weapon_m_9_1,1428,Dread Dagger,Items.Weapon.Name.1428,8,Immortal,ref:f6586a35f4d6a7d478f87413a0e6ee86,0,Melee,1,1.5,0,0,ref:c89e93bb516cc14449702ffa556d5cdf,ref:55959403a674c524b87b35a459ee6c35,1,1,1,
Weapon_m_9_2,1429,Infernal Greatsword,Items.Weapon.Name.1429,8,Immortal,ref:9b8f84cd8c7aad541916ad158efa9e21,0,Melee,1,1.5,0,0,ref:ac40b42be3fdb834f88828525fc64cbc,ref:632afb8e506263c4c80cae44ee44ce69,1,1,1,
Weapon_m_9_3,1430,Void Scythe,Items.Weapon.Name.1430,8,Immortal,ref:b98e1a6d39deb46409b44946a48b0151,0,Melee,1,1.5,0,0,ref:c89e93bb516cc14449702ffa556d5cdf,ref:4c6c5973a10bc304ea192be7312421b5,1,1,1,
Weapon_r_10_1,1437,Celestial Lightning,Items.Weapon.Name.1437,9,Divine,ref:1281155ba5c09a0409ecc5934a5858e4,1,Range,1,3.5,8,0,ref:99bc841c3be40c2458fa134d1fd51953,ref:618633244c34eea479c9acb4eca9fad6,1,1,1,ref:5b954b52ab8e84c4c8d515deb816f37e
Weapon_r_10_2,1438,Eternal Crossbow,Items.Weapon.Name.1438,9,Divine,ref:3b8d51d2e3e9c0b4c9ef6d9df213c6c5,1,Range,1,3.5,8,0,ref:1e0cab2effe7d9f44a434a4dfdff011d,ref:5136061f2272b2c4d8ab8cee88f0f162,1,1,1,ref:d22a697c42ba00b49a79423ae8dc64e8
Weapon_r_10_3,1439,Radiant Staff,Items.Weapon.Name.1439,9,Divine,ref:a2c7b6475981c294694e140792fae811,1,Range,1,3.5,7,0,ref:c89e93bb516cc14449702ffa556d5cdf,ref:226e50fe421fb1446b9d4980b226c698,1,1,1,ref:d1122a7905531604a96e3c4eeaceffb5
Weapon_r_1_1,35,Sling,Items.Weapon.Name.35,0,Common,ref:3d9e5554709870d4a8275cf146144e08,1,Range,1,3.5,20,0,ref:853355bcb6661b94f9f801fad41f05b7,ref:14b0f7336e7f5c845b252bf4e9361ca5,1,1,1,ref:66b878970d8386847b90ab45cf39f38c
Weapon_r_1_2,63,Throwing Stick,Items.Weapon.Name.63,0,Common,ref:d41c9f7ecf784bd469f91f8198c98086,1,Range,1,3.5,20,0,ref:99bc841c3be40c2458fa134d1fd51953,ref:ad9d87cbc5c971a4da94e7492e0cbeb9,1,1,1,ref:4ae33357c3e692d45bf5695887b9ab73
Weapon_r_1_3,1299,Primitive Bow,Items.Weapon.Name.1299,0,Common,ref:956eb5f2835385d46bee82d00be62a37,1,Range,1,3.5,20,0,ref:cb22f3de7adefc34d8751d29bc662cc5,ref:75d7f984ac68e444587ba21e7bf0a803,1,1,1,ref:542899cee91f571428acfbe51d579f71
Weapon_r_2_1,65,Javelin,Items.Weapon.Name.65,1,Uncommon,ref:6d1d0902abaf64f4691d736448d36697,1,Range,1,3.5,10,0,ref:99bc841c3be40c2458fa134d1fd51953,ref:da2ac1f5025a3ee40a87716bee8d8c60,1,1,1,ref:f4924c2f659f1d44d9554d4b9a794489
Weapon_r_2_2,66,Bow,Items.Weapon.Name.66,1,Uncommon,ref:f4f246e81c61acc49aef3db3d844083f,1,Range,1,3.5,10,0,ref:7d0b8b5de151cbe408fba7cc60645c02,ref:bf36f6c2974e5fc4eb9c78c8f673e81f,1,1,1,ref:abb5d21ff9847c54ab5314d1c9e1b1c1
Weapon_r_3_1,68,Viking Spear,Items.Weapon.Name.68,2,Rare,ref:243aaefc62329df4b9045315e10efdcb,1,Range,1,3.5,10,0,ref:99bc841c3be40c2458fa134d1fd51953,ref:9ebe0984451c7b14ea87746fac540a16,1,1,1,ref:772cac57db867554ba7d50a624e72499
Weapon_r_3_2,67,Viking Bow,Items.Weapon.Name.67,2,Rare,ref:94f05b7684f143b4cb415fc1fb10ca71,1,Range,1,3.5,10,0,ref:e80d61286f5cd8340a86f29061806a7c,ref:a765a1292193be24c963428e10244532,1,1,1,ref:5a11946ea62a52a49a0908e545658692
Weapon_r_3_3,1298,Longbow,Items.Weapon.Name.1298,2,Rare,ref:0c7370a8903676e4b9b08857a8181741,1,Range,1,3.5,10,0,ref:e80d61286f5cd8340a86f29061806a7c,ref:971bfd3eeb054ce4ab35ff2d0819faf8,1,1,1,ref:5a11946ea62a52a49a0908e545658692
Weapon_r_4_1,70,Squire Javelin,Items.Weapon.Name.70,3,Epic,ref:e24b78e508a73c84399653fc08b64c0b,1,Range,1,3.5,15,0,ref:99bc841c3be40c2458fa134d1fd51953,ref:6a686e92b378aa44196750f6e10cca59,1,1,1,ref:1e927cc4b7f61c942b5d1689d4f6b7b3
Weapon_r_4_2,71,Soldier Bow,Items.Weapon.Name.71,3,Epic,ref:5806403a4dbbc424f8fdd27800e224a0,1,Range,1,3.5,15,0,ref:14653aaddae0b1d44b731cef1d31cca9,ref:b7ebb0fa89131e046b3d00105bd98744,1,1,1,ref:74a5fa5faac16b64ca53adbe4399268c
Weapon_r_4_3,1301,Squire Crossbow,Items.Weapon.Name.1301,3,Epic,ref:874ce7e191bfa9046a92eaaab60dedd0,1,Range,1,3.5,15,0,ref:6fe8172d763e2514f8c91ae2dbf3d75b,ref:895ec7c18efaa7b479bd36466511ddb0,1,1,1,ref:74a5fa5faac16b64ca53adbe4399268c
Weapon_r_5_1,73,Knight Javelin,Items.Weapon.Name.73,4,Legendary,ref:cdd61668e760e32499c2d66161de3cf5,1,Range,1,3.5,15,0,ref:99bc841c3be40c2458fa134d1fd51953,ref:0014c49d79979524488f6d68ec7f1d51,1,1,1,ref:65a5d0a9b966d8e4382e9e4a781b99fd
Weapon_r_5_2,72,Knight Crossbow,Items.Weapon.Name.72,4,Legendary,ref:572619b619c38704c9f9690a57207127,1,Range,1,3.5,15,0,ref:ec3114dc335afd84dabc12f21d41f9f6,ref:7707dd714b835b34da57d75fb7a3c992,1,1,1,ref:8993acd69a04d9d45874edf479a9e7bb
Weapon_r_5_3,1296,Flame Staff,Items.Weapon.Name.1296,4,Legendary,ref:5fdc4cc6347dbdb40a5c424c06e45454,1,Range,1,3.5,7,0,ref:c89e93bb516cc14449702ffa556d5cdf,ref:e20eed784a88d1044bd754215dbf4303,1,1,1,ref:8fd084ea5fa3c954ba9c4cb744668b5c
Weapon_r_6_1,1338,Mystic Kunai,Items.Weapon.Name.1338,5,Mythic,ref:94fcb769cae6fed48a9015838cd6536d,1,Range,1,3.5,8,0,ref:c1190c8af67a6ad40835dd74257e2a1e,ref:b35148b03c529fa439e07ba8b5c455c8,1,1,1,ref:95da7495ae705334f90d126621d33ebb
Weapon_r_6_2,1339,Arcane Bow,Items.Weapon.Name.1339,5,Mythic,ref:c95bdc325decb544491887d096aa3cff,1,Range,1,3.5,8,0,ref:b7d96324a4d743b40b83e800a39092e7,ref:865131ddf3b84814dbd8b04c4c47094c,1,1,1,ref:05a172b4224abeb4093c5ef2c2a17a61
Weapon_r_6_3,1340,Wizard Staff,Items.Weapon.Name.1340,5,Mythic,ref:c8c693cb76d8dc3499e5b1d5879f425d,1,Range,1,3.5,7,0,ref:c89e93bb516cc14449702ffa556d5cdf,ref:9a14414743661a640a48ef0eb9879c9f,1,1,1,ref:94313d04b860bf743935212ef68f2e55
Weapon_r_7_1,1341,Sacred Spear,Items.Weapon.Name.1341,6,Artifact,ref:141ba37a2f3b0dc4e9c3427dfd8d02ab,1,Range,1,3.5,8,0,ref:99bc841c3be40c2458fa134d1fd51953,ref:7d0d4480c03136b4eacc749ebe74ca5c,1,1,1,ref:c048d0f3ee4a3b946bfa6a9b2945c4da
Weapon_r_7_2,1342,Druidic Crossbow,Items.Weapon.Name.1342,6,Artifact,ref:21d63b54a3dc15447a54b2301997d261,1,Range,1,3.5,8,0,ref:bd31059ee5b056b4fa2cd096ab0fbe01,ref:d34fdd685b923f049a23eb4c812e12ef,1,1,1,ref:45bc561e7c16ee64995bd04a203a1e16
Weapon_r_7_3,1343,Wild Staff,Items.Weapon.Name.1343,6,Artifact,ref:c35f360688d444d47aa9b9eb840c1df7,1,Range,1,3.5,7,0,ref:c89e93bb516cc14449702ffa556d5cdf,ref:cb51416ef746dc541a61eff0a1607d8f,1,1,1,ref:4fb24a0e899f2284787e10c1c4e2fc67
Weapon_r_8_1,1363,Ice Javelin,Items.Weapon.Name.1363,7,Ancient,ref:7b51497f6bb077c4e86a3db174f5f842,1,Range,1,3.5,8,0,ref:99bc841c3be40c2458fa134d1fd51953,ref:d5b342ff79caaa34f9b6785e9767821a,1,1,1,ref:bc725ae1127edf349a0ed0309be5be4e
Weapon_r_8_2,1364,Frost Bow,Items.Weapon.Name.1364,7,Ancient,ref:542b2d6302138f24a95f92734a6447b9,1,Range,1,3.5,8,0,ref:8b685d350116fcf47a8e98bfdd46ae43,ref:7ec38071081fe0948b9c610c280f9e6e,1,1,1,ref:b92cca29e922ef646a54e7eda2aac710
Weapon_r_8_3,1365,Ice Staff,Items.Weapon.Name.1365,7,Ancient,ref:1fde4af3ffd1ca446bd2b8e726ae25a0,1,Range,1,3.5,7,0,ref:c89e93bb516cc14449702ffa556d5cdf,ref:2fb19dfee0eea8e4fb80134ba693e18f,1,1,1,ref:204e53b9a313f724abc23b7969c28d0d
Weapon_r_9_1,1434,Undying Bow,Items.Weapon.Name.1434,8,Immortal,ref:477bc7c187c244e41af1f56d0f20c6d1,1,Range,1,3.5,8,0,ref:ffde554334b331a4cb98f2518218a3f6,ref:a5c185081ff8d9a41b39ad8b67e2b79f,1,1,1,ref:28f3921988aa80843bd7115a2d1e6960
Weapon_r_9_2,1435,Void Javelin,Items.Weapon.Name.1435,8,Immortal,ref:9ee47de160dc31d40a69dbaa6d88c75f,1,Range,1,3.5,8,0,ref:99bc841c3be40c2458fa134d1fd51953,ref:45ce361b1cfcc5342b68d79699d60dcf,1,1,1,ref:e53634013aa96b341acac29278260461
Weapon_r_9_3,1436,Tyrant Staff,Items.Weapon.Name.1436,8,Immortal,ref:6f21511ec928ef743a5dfd0c65341774,1,Range,1,3.5,7,0,ref:c89e93bb516cc14449702ffa556d5cdf,ref:780203ccd3a82104eb359ca43e4ee7dd,1,1,1,ref:8fd084ea5fa3c954ba9c4cb744668b5c
Witch2WeaponData,1395,DragonWeapon,Items.Weapon.Name.1395,0,Common,,1,Range,1,100,12,0,ref:462e4067ae1ea1d42bee142989157b25,ref:c706db0aecc429146b1ca346c900c790,1,1,1,ref:4fb24a0e899f2284787e10c1c4e2fc67
WitchWeaponData,1392,DragonWeapon,Items.Weapon.Name.1392,0,Common,,1,Range,1,100,12,0,ref:462e4067ae1ea1d42bee142989157b25,ref:0b65f5f8133c3424cbf570187ba98034,1,1,1,ref:4fb24a0e899f2284787e10c1c4e2fc67
